id,osm_id,latitude,longitude
213,3222954067,18.7789819,73.3868238
214,3222954115,18.7795815,73.3852751
215,3222954133,18.7799001,73.3851127
216,3222979250,18.7352931,73.4669034
217,3222981322,18.7460921,73.4375458
218,3222981332,18.747071,73.4376297
219,3222981565,18.748045,73.4214571
220,3222981579,18.7498934,73.4338988
221,3222981580,18.7499133,73.4290974
222,3222981599,18.7503009,73.4291498
223,3222981607,18.7505526,73.409892
224,3222981613,18.7510339,73.4071518
225,3222981614,18.7511389,73.4107914
226,3222981621,18.7521382,73.4119059
227,3222981625,18.7525465,73.407864
228,3222981628,18.7527262,73.4085206
229,3222981629,18.7527638,73.4078693
230,3222981643,18.7540856,73.4070151
231,3222981653,18.7551589,73.4139127
232,3222981654,18.7557184,73.3991003
233,3222981656,18.7568424,73.4146226
234,3222981658,18.7564787,73.3977881
235,3222981671,18.7582418,73.4009426
236,3222981673,18.7586185,73.4008924
237,3222981681,18.7590908,73.4110383
238,3222981684,18.7590889,73.4008245
239,3222981720,18.7603857,73.4006514
240,3222981723,18.7604807,73.4048293
241,3222981727,18.7606445,73.4058456
242,3222981733,18.7607802,73.4113113
243,3222981748,18.7611791,73.4092852
244,3222981756,18.7615845,73.4122934
245,3222981758,18.7617067,73.4114583
246,3222981761,18.7619821,73.4003891
247,3222981767,18.7627238,73.4086206
248,3222981769,18.7629478,73.4125089
249,3222981778,18.7671431,73.39945
250,3222981780,18.7672338,73.4001408
251,3222981782,18.7672523,73.3995862
252,3222981784,18.7675527,73.3995895
253,3222981785,18.7676398,73.3992975
254,3222981790,18.7682215,73.3991824
255,3222981791,18.7683294,73.3995983
256,3222981793,18.7683875,73.4000905
257,3222981800,18.7684646,73.3986783
258,3222981810,18.7686186,73.4003155
259,3222981812,18.7686534,73.3996019
260,3222981814,18.7687735,73.4003075
261,3222981817,18.7689912,73.3985891
262,3222981818,18.7691013,73.3803285
263,3222981827,18.7707828,73.3823534
264,3222981839,18.7716489,73.3825424
265,3222981969,18.772683,73.3828493
266,3222981971,18.7727197,73.3810696
267,3222981974,18.7727953,73.3808627
268,3222982025,18.7744702,73.3849473
269,3222982043,18.7752009,73.3842212
270,3639180744,18.7636855,73.4148999
271,3639181579,18.7636402,73.4140037
272,4380545981,18.7670186,73.3856314
273,4380545984,18.7668279,73.3869332
274,4380546089,18.7722375,73.3844406
275,4380546090,18.7724937,73.3834954
276,4380546093,18.7702938,73.3837509
277,4380546105,18.7660339,73.3871517
278,4380546112,18.7674423,73.3829951
279,4380546113,18.7691102,73.3823507
280,4380546129,18.7665534,73.3896865
281,4380546130,18.7671567,73.3919277
282,4380546135,18.7679067,73.3978212
283,4380546137,18.7673999,73.3984522
284,4380546138,18.7674002,73.3958811
285,4380546140,18.7664184,73.3958607
286,4380546142,18.7657223,73.396908
287,4380546146,18.7662627,73.3983133
288,4380546147,18.7665431,73.3958359
289,4380546149,18.7663798,73.3973309
290,4380546152,18.7647264,73.396721
291,4380546159,18.7648053,73.4002496
292,4380546160,18.7654536,73.3993653
293,4380546161,18.7647327,73.3996472
294,4380546162,18.7645446,73.3989401
295,4380546163,18.7643591,73.3989705
296,4380546164,18.7639564,73.3975345
297,4380546165,18.7641706,73.3975241
298,4380546167,18.7630897,73.3975804
299,4380546172,18.7620098,73.3974434
300,4380546173,18.7634739,73.3975418
301,4380546174,18.7639389,73.3991444
302,4380546175,18.7629661,73.3975641
303,4380546177,18.7636293,73.399246
304,4380546178,18.7637876,73.3986229
305,4380546179,18.7634373,73.3987458
306,4380546180,18.7635988,73.3979723
307,4380546181,18.7631903,73.3981026
308,4380546187,18.7619883,73.3995949
309,4380546188,18.762571,73.3982696
310,4380546189,18.7630467,73.3994698
311,4380546190,18.7620108,73.3973775
312,4380546196,18.7636419,73.395473
313,4380546197,18.7641188,73.3964361
314,4380557523,18.7620166,73.3968761
315,4380557524,18.7612574,73.3968647
316,4380557530,18.7612532,73.3956895
317,4380557531,18.7620959,73.3950884
318,4380557543,18.7588125,73.3940935
319,4380557544,18.7601783,73.3911851
320,4380557557,18.7589229,73.3952303
321,4380557564,18.7589731,73.3955661
322,4380557576,18.7597888,73.397404
323,4380557577,18.7593538,73.3979651
324,4380557891,18.7568605,73.3980004
325,4380557901,18.7580946,73.4006646
326,4380557902,18.7573942,73.3983571
327,4380557911,18.7583205,73.3979518
328,4380557916,18.758993,73.3983884
